1,40,0.6,22,0.4,,,R,1 - 5 are payoff scale
2,35,0.6,17,0.4,,,,
3,30,0.6,12,0.4,,,,
4,25,0.6,7,0.4,,,,
5,20,0.6,2,0.4,,,R,
6,18,0.4,14,0.6,,,R,6 - 10 are mean preserving spread
7,19.5,0.4,13,0.6,,,,
8,21,0.4,12,0.6,,,,
9,24,0.4,10,0.6,,,,
10,30,0.4,6,0.6,,,R,
11,20,1,0,0,,,D,Common consequence (safe)
12,20,0.97,0,0.03,,,,
13,20,0.67,0,0.33,,,,
14,20,0.37,0,0.63,,,R,
15,20,0.07,0,0.93,,,R,
16,22.5,1,0,0,,,D,Common ratio (safe)
17,22.5,0.99,0,0.01,,,R,
18,22.5,0.95,0,0.05,,,,
19,22.5,0.75,0,0.25,,,,
20,22.5,0.25,0,0.75,,,R,
21,22.5,0.05,0,0.95,,,,
22,30,0.8,0,0.2,,,R,Common ratio (risky)
23,30,0.76,0,0.24,,,,
24,30,0.6,0,0.4,,,,
25,30,0.2,0,0.8,,,R,
26,30,0.04,0,0.96,,,,
27,24,0.05,20,0.93,0,0.02,,Common consequence (risky)
28,24,0.05,20,0.9,0,0.05,,
29,24,0.05,20,0.6,0,0.35,,
30,24,0.05,20,0.3,0,0.65,R,
31,24,0.05,20,0,0,0.95,R,
32,20,0,10,1,0,0,D,Betweenness
33,20,0.08,10,0.9,0,0.02,,
34,20,0.2,10,0.75,0,0.05,R,
35,20,0.6,10,0.25,0,0.15,,
36,20,0.8,10,0,0,0.2,R,
