Proposed Amount of Money,I'm sure I prefer Option A,I think I prefer Option A but I'm not sure,I'm indifferent between Option A and Option B,I think I prefer Option B but I'm not sure,I'm sure I prefer Option B
For £30.00,1,0,0,0,0
For £29.00,1,0,0,0,0
For £29.00,1,0,0,0,0
For £28.50,1,0,0,0,0
For £28.00,1,0,0,0,0
For £27.50,1,0,0,0,0
For £27.00,0,1,0,0,0
For £26.50,0,1,0,0,0
For £26.00,0,1,0,0,0
For £25.50,0,1,0,0,0
For £25.00,0,1,0,0,0
For £24.50,0,1,0,0,0
For £24.00,0,0,1,0,0
For £23.50,0,0,1,0,0
For £23.00,0,0,1,0,0
For £22.50,0,0,1,0,0
For £22.00,0,0,1,0,0
For £21.50,0,0,1,0,0
For £21.00,0,0,0,1,0
For £20.50,0,0,0,1,0
For £20.00,0,0,0,1,0
For £19.50,0,0,0,1,0
For £19.00,0,0,0,1,0
For £18.50,0,0,0,1,0
For £18.00,0,0,0,0,1
For £17.50,0,0,0,0,1
For £17.00,0,0,0,0,1
For £16.50,0,0,0,0,1
For £16.00,0,0,0,0,1
For £15.50,0,0,0,0,1
For £15.00,0,0,0,0,1
